iter	Passed	Remaining
225	31394	125023
226	31490	124714
227	31590	124422
228	31722	124258
229	31816	123945
230	31913	123649
231	32007	123340
232	32109	123061
233	32210	122783
234	32308	122496
235	32419	122260
236	32520	121984
237	32682	121941
238	32823	121819
239	33020	121900
240	33243	122077
241	33458	122220
242	33686	122408
243	33910	122578
244	34138	122759
245	34355	122896
246	34565	123007
247	34799	123199
248	35082	123562
249	35321	123767
250	35559	123963
251	35783	124106
252	35947	124041
253	36189	124240
254	36539	124807
255	36795	125047
256	37082	125386
257	37415	125877
258	37690	126168
259	37962	126443
260	38274	126848
261	38562	127168
262	38853	127492
263	39156	127850
264	39434	128123
265	39711	128391
266	39998	128685
267	40270	128926
268	40554	129202
269	40814	129397
270	41181	129926
271	41464	130185
272	41731	130392
273	42022	130669
274	42315	130947
275	42620	131257
276	42881	131430
277	43148	131619
278	43457	131929
279	43707	132058
280	43979	132251
281	44299	132585
282	44564	132747
283	44828	132905
284	45156	133250
285	45502	133642
286	45775	133818
287	46050	133994
288	46359	134266
289	46675	134554
290	46955	134736
291	47220	134869
292	47498	135038
293	47564	134602
294	47844	134776
295	48120	134932
296	48371	135015
297	48646	135165
298	48995	135515
299	49292	135719
300	49556	135828
301	49881	136101
302	50149	136213
303	50408	136303
304	50699	136473
305	50983	136622
306	51325	136922
307	51603	137051
308	51862	137124
309	52145	137261
310	52424	137382
311	52706	137509
312	52984	137624
313	53256	137721
314	53606	138015
315	53869	138082
316	54136	138160
317	54395	138212
318	54669	138302
319	54973	138463
320	55259	138578
321	55535	138665
322	55848	138843
323	56112	138895
324	56383	138962
325	56659	139042
326	56955	139165
327	57223	139221
328	57538	139385
329	57806	139436
330	58086	139512
331	58420	139716
332	58701	139790
333	58999	139903
334	59275	139960
335	59628	140199
336	59871	140173
337	60144	140217
338	60426	140281
339	60802	140561
340	61074	140597
341	61337	140608
342	61594	140607
343	61861	140627
344	62115	140614
345	62381	140629
346	62644	140633
347	62980	140800
348	63243	140803
349	63509	140809
350	63760	140780
351	64014	140758
352	64266	140729
353	64515	140694
354	64767	140663
355	65044	140687
356	65353	140775
357	65631	140795
358	65900	140796
359	66192	140842
360	66470	140857
361	66765	140909
362	67044	140923
363	67335	140959
364	67653	141053
365	68010	141223
366	68287	141226
367	68584	141269
368	68854	141255
369	69132	141255
370	69409	141250
371	69701	141277
372	70020	141354
373	70305	141363
374	70562	141312
375	70831	141286
376	71084	141226
377	71363	141216
378	71659	141238
379	71949	141247
380	72237	141252
381	72532	141266
382	72819	141266
383	73126	141300
384	73409	141289
385	73736	141360
386	74029	141363
387	74328	141377
388	74673	141476
389	74961	141466
390	75227	141411
391	75521	141409
392	75803	141384
393	76072	141332
394	76344	141285
395	76649	141297
396	76978	141352
397	77252	141306
398	77517	141240
